iter	Passed	Remaining
0	0	777
1	1	606
2	1	572
3	2	556
4	2	544
5	3	540
6	3	533
7	4	529
8	4	524
9	5	521
10	5	519
11	6	520
12	6	523
13	7	524
14	7	523
15	8	523
16	9	522
17	9	521
18	10	520
19	10	518
20	11	516
21	11	514
22	12	512
23	12	510
24	13	510
25	13	510
26	14	509
27	14	507
28	15	506
29	15	502
30	16	500
31	16	499
32	17	498
33	17	497
34	17	496
35	18	495
36	19	494
37	19	492
38	19	490
39	20	490
40	21	491
41	21	491
42	22	491
43	22	491
44	23	490
45	23	490
46	24	489
47	24	488
48	25	487
49	25	487
50	26	487
51	26	488
52	27	487
53	27	488
54	28	488
55	28	487
56	29	486
57	29	485
58	30	485
59	30	484
60	31	483
61	31	482
62	32	481
63	32	482
64	33	482
65	34	481
66	34	481
67	35	481
68	35	479
69	36	478
70	36	480
71	37	480
72	37	479
73	38	479
74	38	475
75	39	475
76	39	474
77	40	473
78	40	473
79	41	472
80	41	472
81	42	471
82	42	470
83	43	470
84	43	469
85	44	468
86	44	467
87	45	466
88	45	465
89	46	469
90	47	469
91	47	469
92	48	470
93	48	471
94	49	470
95	49	470
96	50	470
97	51	470
98	51	469
99	52	468
100	52	468
101	53	467
102	53	465
103	53	465
104	54	464
105	54	462
106	55	462
107	55	461
108	56	460
109	56	458
110	57	458
111	57	457
112	58	456
113	58	455
114	59	455
115	59	454
116	60	453
117	60	454
118	61	453
119	61	453
120	62	451
121	62	451
122	63	451
123	63	450
124	64	450
125	64	449
126	65	449
127	65	448
128	66	448
129	66	448
130	67	448
131	68	448
132	68	448
133	69	448
134	69	447
135	70	447
136	70	446
137	71	446
138	71	445
139	72	445
140	72	444
141	73	443
142	74	443
143	74	443
144	75	442
145	75	442
146	76	442
147	76	441
148	77	440
149	77	440
150	78	439
151	78	439
152	79	438
153	79	438
154	80	437
155	80	435
156	81	435
157	81	435
158	82	434
159	82	434
160	83	434
161	83	433
162	84	433
163	84	432
164	85	431
165	85	431
166	86	430
167	86	430
168	87	429
169	87	429
170	88	429
171	89	428
172	89	428
173	90	427
174	90	427
175	91	427
176	91	427
177	92	426
178	92	426
179	93	425
180	94	425
181	94	425
182	95	425
183	95	424
184	96	425
185	97	425
186	97	424
187	98	424
188	98	423
189	99	423
190	99	422
191	100	422
192	101	422
193	101	423
194	102	423
195	103	423
196	104	424
197	104	424
198	105	424
199	106	424
200	106	424
201	107	424
202	107	423
203	108	423
204	109	422
205	109	422
206	110	422
207	110	421
208	111	421
209	111	421
210	112	420
211	113	420
212	113	419
213	114	419
214	114	418
215	115	418
216	115	418
217	116	418
218	117	418
219	117	417
220	118	417
221	119	417
222	119	417
223	120	416
224	120	416
225	121	415
226	121	415
227	122	414
228	123	414
229	123	414
230	124	414
231	125	413
232	125	413
233	126	413
234	126	413
235	127	412
236	128	412
237	128	412
238	129	412
239	130	412
240	130	411
241	131	411
242	131	410
243	132	410
244	132	409
245	133	409
246	134	408
247	134	408
248	135	407
249	135	406
250	136	406
251	136	405
252	137	405
253	137	404
254	138	404
255	138	403
256	139	402
257	139	402
258	140	401
259	140	401
260	141	400
261	142	400
262	142	399
263	143	399
264	143	399
265	144	398
266	145	398
267	145	397
268	146	397
269	146	396
270	147	396
271	147	395
272	148	395
273	148	394
274	149	394
275	150	393
276	150	393
277	151	392
278	151	392
279	152	391
280	152	391
281	153	390
282	154	390
283	154	389
284	155	389
285	155	389
286	156	388
287	157	388
288	157	387
289	158	387
290	158	386
291	159	386
292	159	385
293	160	385
294	160	384
295	161	384
296	162	383
297	162	382
298	163	382
299	163	381
300	164	381
301	164	380
302	165	380
303	165	379
304	166	379
305	166	378
306	167	378
307	168	377
308	168	376
309	169	376
310	169	375
311	170	375
312	170	375
313	171	374
314	171	374
315	172	373
316	173	372
317	173	372
318	174	371
319	174	371
320	175	370
321	175	369
322	176	369
323	176	368
324	177	368
325	177	367
326	178	366
327	178	366
328	179	365
329	179	365
330	180	364
331	180	364
332	181	363
333	182	363
334	182	362
335	183	361
336	183	361
337	184	360
338	184	360
339	185	360
340	186	359
341	186	359
342	187	358
343	187	358
344	188	357
345	189	357
346	189	356
347	190	356
348	190	355
349	191	355
350	191	354
351	192	354
352	192	353
353	193	353
354	194	352
355	194	351
356	195	351
357	195	350
358	196	350
359	196	349
360	197	349
361	197	348
362	198	347
363	198	347
364	199	347
365	200	346
366	200	346
367	201	345
368	201	345
369	202	344
370	202	344
371	203	343
372	204	343
373	204	342
374	205	341
375	205	341
376	206	340
377	206	340
378	207	339
379	207	339
380	208	338
381	208	337
382	209	337
383	209	336
384	210	336
385	210	335
386	211	334
387	212	334
388	212	333
389	213	333
390	213	332
391	214	332
392	214	331
393	215	331
394	215	330
395	216	329
396	216	329
397	217	328
398	217	328
399	218	327
400	218	327
401	219	326
402	220	325
403	220	325
404	221	324
405	221	324
406	222	323
407	222	323
408	223	322
409	223	321
410	224	321
411	224	320
412	225	320
413	225	319
414	226	319
415	226	318
416	227	317
417	227	317
418	228	316
419	229	316
420	229	315
421	230	315
422	230	314
423	231	314
424	231	313
425	232	312
426	232	312
427	233	311
428	233	311
429	234	310
430	234	310
431	235	309
432	235	308
433	236	308
434	236	307
435	237	307
436	238	306
437	238	306
438	239	305
439	239	305
440	240	304
441	240	304
442	241	303
443	241	302
444	242	302
445	242	301
446	243	301
447	244	300
448	244	300
449	245	299
450	245	298
451	246	298
452	246	297
453	247	297
454	247	296
455	248	296
456	248	295
457	249	295
458	249	294
459	250	294
460	250	293
461	251	292
462	252	292
463	252	291
464	253	291
465	253	290
466	254	290
467	254	289
468	255	289
469	256	288
470	256	288
471	257	287
472	257	287
473	258	286
474	258	286
475	259	285
476	259	284
477	260	284
478	260	283
479	261	283
480	262	282
481	262	282
482	263	281
483	263	281
484	264	280
485	264	279
486	265	279
487	265	278
488	266	278
489	266	277
490	267	277
491	268	276
492	268	276
493	269	275
494	269	275
495	270	274
496	270	273
497	271	273
498	271	272
499	272	272
500	272	271
501	273	271
502	273	270
503	274	270
504	274	269
505	275	268
506	275	268
507	276	267
508	276	267
509	277	266
510	278	266
511	278	265
512	279	265
513	279	264
514	280	263
515	280	263
516	281	262
517	281	262
518	282	261
519	282	261
520	283	260
521	284	260
522	284	259
523	285	259
524	285	258
525	286	257
526	286	257
527	287	256
528	287	256
529	288	255
530	288	255
531	289	254
532	289	254
533	290	253
534	291	252
535	291	252
536	292	251
537	292	251
538	293	250
539	293	250
540	294	249
541	294	249
542	295	248
543	295	248
544	296	247
545	297	247
546	297	246
547	298	246
548	298	245
549	299	245
550	300	244
551	300	243
552	301	243
553	301	242
554	302	242
555	302	241
556	303	241
557	304	240
558	304	240
559	305	239
560	305	239
561	306	238
562	306	238
563	307	237
564	307	237
565	308	236
566	309	235
567	309	235
568	310	235
569	310	234
570	311	234
571	312	233
572	312	233
573	313	232
574	314	232
575	314	231
576	315	231
577	315	230
578	316	230
579	316	229
580	317	228
581	317	228
582	318	227
583	318	227
584	319	226
585	320	226
586	320	225
587	321	224
588	321	224
589	322	223
590	322	223
591	323	222
592	323	222
593	324	221
594	324	221
595	325	220
596	325	220
597	326	219
598	326	218
599	327	218
600	328	217
601	328	217
602	329	216
603	329	216
604	330	215
605	330	214
606	331	214
607	331	213
608	332	213
609	332	212
610	333	212
611	333	211
612	334	211
613	334	210
614	335	209
615	335	209
616	336	208
617	337	208
618	337	207
619	338	207
620	338	206
621	339	206
622	339	205
623	340	205
624	340	204
625	341	203
626	341	203
627	342	202
628	342	202
629	343	201
630	343	201
631	344	200
632	344	200
633	345	199
634	346	198
635	346	198
636	347	197
637	347	197
638	348	196
639	348	196
640	349	195
641	349	195
642	350	194
643	351	194
644	351	193
645	352	192
646	352	192
647	353	191
648	353	191
649	354	190
650	354	190
651	355	189
652	355	189
653	356	188
654	356	187
655	357	187
656	357	186
657	358	186
658	358	185
659	359	185
660	359	184
661	360	184
662	360	183
663	361	182
664	361	182
665	362	181
666	363	181
667	363	180
668	364	180
669	364	179
670	365	179
671	365	178
672	366	177
673	366	177
674	367	176
675	367	176
676	368	175
677	368	175
678	369	174
679	369	174
680	370	173
681	371	173
682	371	172
683	372	171
684	372	171
685	373	170
686	373	170
687	374	169
688	374	169
689	375	168
